contrast	short_label	category	category_label	n_terms	n_positive	n_negative	dominant_effect	dominant_term	dominant_padj	top_positive_term	top_positive_effect	top_positive_padj	top_negative_term	top_negative_effect	top_negative_padj	dominant_effect_fmt	dominant_padj_fmt
N_OD_vs_N_BL	N_OD vs N_BL	pigmentacion_melanocito	Pigmentacion/melanocito	9	9	0	2.36325746278032	BP: melanosome organization	2.49515364995907e-05	BP: melanosome organization	2.36	2.50e-05				2.36	2.50e-05
N_OD_vs_N_BL	N_OD vs N_BL	matriz_adhesion	Matriz extracelular/adhesion	20	0	20	-3.01138025464727	CC: collagen-containing extracellular matrix	4.79044407098541e-24				CC: collagen-containing extracellular matrix	-3.01	4.79e-24	-3.01	4.79e-24
N_OD_vs_N_BL	N_OD vs N_BL	epidermis_epitelio	Epidermis/epitelio	9	2	7	-2.43247278491968	BP: positive regulation of epithelial to mesenchymal transition	3.62670979655956e-06	BP: retinal pigment epithelium development	1.95	2.06e-02	BP: positive regulation of epithelial to mesenchymal transition	-2.43	3.63e-06	-2.43	3.63e-06
N_OD_vs_N_BL	N_OD vs N_BL	musculo_sarcomero	Musculo/sarcomero	11	11	0	2.16217635401355	BP: skeletal muscle thin filament assembly	0.000797562387345649	BP: skeletal muscle thin filament assembly	2.16	7.98e-04				2.16	7.98e-04
N_OD_vs_N_BL	N_OD vs N_BL	neural_desarrollo	Neural/axon/cresta	16	1	15	-2.27784670191496	BP: retinal ganglion cell axon guidance	2.49515364995907e-05	BP: retinal pigment epithelium development	1.95	2.06e-02	BP: axon guidance	-2.18	7.85e-08	-2.28	2.50e-05
N_OD_vs_N_BL	N_OD vs N_BL	wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion	12	0	12	-2.15801083270604	BP: cellular response to BMP stimulus	0.00146610442314514				BP: Wnt signaling pathway	-1.91	1.68e-04	-2.16	1.47e-03
N_OD_vs_N_BL	N_OD vs N_BL	lipidos	Lipidos	4	4	0	2.12411918689196	BP: lipid oxidation	0.00138440570238923	BP: lipid oxidation	2.12	1.38e-03				2.12	1.38e-03
N_OD_vs_N_BL	N_OD vs N_BL	mitocondria_metabolismo	Mitocondria/metabolismo	20	20	0	2.63986806629285	CC: mitochondrial inner membrane	7.61393994077367e-11	CC: mitochondrion	2.60	7.37e-31				2.64	7.61e-11
N_OD_vs_N_BL	N_OD vs N_BL	inmunidad_inflamacion	Inmunidad/inflamacion	3	0	3	-1.82902029927888	BP: regulation of immune response	0.0354000346960784				BP: immune response	-1.70	1.68e-02	-1.83	3.54e-02
N_OD_vs_N_BL	N_OD vs N_BL	traduccion_ribosoma	Traduccion/ribosoma	8	8	0	2.39619843567569	MF: structural constituent of ribosome	1.27404772618835e-10	MF: structural constituent of ribosome	2.40	1.27e-10				2.40	1.27e-10
N_OD_vs_N_BL	N_OD vs N_BL	desarrollo_morfogenesis	Desarrollo/morfogenesis	78	6	72	-2.42729646745032	BP: growth plate cartilage chondrocyte morphogenesis	3.84533372710285e-06	BP: melanocyte differentiation	2.19	1.09e-04	BP: blood vessel development	-2.27	1.22e-06	-2.43	3.85e-06
P_OD_vs_P_OL	P_OD vs P_OL	pigmentacion_melanocito	Pigmentacion/melanocito	2	2	0	2.23638274851243	BP: tetrahydrobiopterin biosynthetic process	0.000893075471305481	BP: tetrahydrobiopterin biosynthetic process	2.24	8.93e-04				2.24	8.93e-04
