method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label	effect_fmt	padj_fmt
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0030018	CC: Z disc	Z disc	6.20447528505965e-08	4.03290893528877e-06	3.26551330792613e-06	39	1.83740666067435		musculo_sarcomero	Musculo/sarcomero	1.84	4.03e-06
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0007015	BP: actin filament organization	actin filament organization	2.10280920408056e-05	0.001514022626938	0.00110674168635819	23	1.75844608106057		musculo_sarcomero	Musculo/sarcomero	1.76	1.51e-03
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0045214	BP: sarcomere organization	sarcomere organization	6.51232151695159e-05	0.00234443574610257	0.00171376882025042	35	1.70418825473282		musculo_sarcomero	Musculo/sarcomero	1.70	2.34e-03
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0030017	CC: sarcomere	sarcomere	0.000197519521843806	0.0064193844599237	0.00519788215378437	20	1.70931219002654		musculo_sarcomero	Musculo/sarcomero	1.71	6.42e-03
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0055003	BP: cardiac myofibril assembly	cardiac myofibril assembly	0.000535547242635193	0.00963985036743348	0.00704667424519991	19	1.66669429287498		musculo_sarcomero	Musculo/sarcomero	1.67	9.64e-03
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0030240	BP: skeletal muscle thin filament assembly	skeletal muscle thin filament assembly	0.000521543465998439	0.00963985036743348	0.00704667424519991	17	1.6650617340929		musculo_sarcomero	Musculo/sarcomero	1.67	9.64e-03
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0030036	BP: actin cytoskeleton organization	actin cytoskeleton organization	0.000794125269162249	0.00979680610405947	0.0071614079708037	15	1.6687225565448		other	Otros	1.67	9.80e-03
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0006936	BP: muscle contraction	muscle contraction	0.000816400508671622	0.00979680610405947	0.0071614079708037	27	1.65254486699849		musculo_sarcomero	Musculo/sarcomero	1.65	9.80e-03
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005747	CC: mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I	0.000324718174335696	0.00703556044394007	0.00569681007606484	12	-2.09617053859645		mitocondria_metabolismo	Mitocondria/metabolismo	-2.10	7.04e-03
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0015986	BP: ATP synthesis coupled proton transport	ATP synthesis coupled proton transport	0.00119317477661292	0.0102214470918934	0.00747181804962967	11	-1.97747536112864		mitocondria_metabolismo	Mitocondria/metabolismo	-1.98	1.02e-02
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0046933	MF: proton-transporting ATP synthase activity, rotational mechanism	proton-transporting ATP synthase activity, rotational mechanism	0.00256166187306186	0.0245919539813938	0.0210325922209289	10	-1.85258304969968		other	Otros	-1.85	2.46e-02
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0042776	BP: mitochondrial ATP synthesis coupled proton transport	mitochondrial ATP synthesis coupled proton transport	0.00464571350296283	0.025730105554871	0.0188085566921572	10	-1.77755374033978		mitocondria_metabolismo	Mitocondria/metabolismo	-1.78	2.57e-02
ORA	P_BD_vs_P_OD	all_DEGs	CC	GO:0030018	CC: Z disc	Z disc	1.03400502326757e-06	3.82581858609e-05	3.04759375278862e-05	11	4.70712250712251	6.64730992074478	musculo_sarcomero	Musculo/sarcomero	6.65	3.83e-05
ORA	P_BD_vs_P_OD	all_DEGs	CC	GO:0005865	CC: striated muscle thin filament	striated muscle thin filament	0.000414138748351167	0.0051077112296644	0.00406873156274831	5	5.96031746031746	5.19194743282443	musculo_sarcomero	Musculo/sarcomero	5.19	5.11e-03
ORA	P_BD_vs_P_OD	all_DEGs	CC	GO:0030017	CC: sarcomere	sarcomere	0.000300823288734512	0.0051077112296644	0.00406873156274831	6	5.00666666666667	5.06439411689279	musculo_sarcomero	Musculo/sarcomero	5.06	5.11e-03
ORA	P_BD_vs_P_OD	all_DEGs	MF	GO:0051371	MF: muscle alpha-actinin binding	muscle alpha-actinin binding	0.000347061848397649	0.00694123696795297	0.00547992392206814	5	6.44444444444444	5.29325375256712	musculo_sarcomero	Musculo/sarcomero	5.29	6.94e-03
ORA	P_BD_vs_P_OD	all_DEGs	MF	GO:0008307	MF: structural constituent of muscle	structural constituent of muscle	0.000746298205690059	0.00746298205690059	0.00589182793965836	5	5.58518518518518	4.8094156213342	musculo_sarcomero	Musculo/sarcomero	4.81	7.46e-03
ORA	P_BD_vs_P_OD	up	CC	GO:0030018	CC: Z disc	Z disc	1.03400502326757e-06	3.82581858609e-05	3.04759375278862e-05	11	4.70712250712251	4.70712250712251	musculo_sarcomero	Musculo/sarcomero	4.71	3.83e-05
ORA	P_BD_vs_P_OD	up	CC	GO:0005865	CC: striated muscle thin filament	striated muscle thin filament	0.000414138748351167	0.0051077112296644	0.00406873156274831	5	5.96031746031746	5.96031746031746	musculo_sarcomero	Musculo/sarcomero	5.96	5.11e-03
ORA	P_BD_vs_P_OD	up	CC	GO:0030017	CC: sarcomere	sarcomere	0.000300823288734512	0.0051077112296644	0.00406873156274831	6	5.00666666666667	5.00666666666667	musculo_sarcomero	Musculo/sarcomero	5.01	5.11e-03
ORA	P_BD_vs_P_OD	up	MF	GO:0051371	MF: muscle alpha-actinin binding	muscle alpha-actinin binding	0.000347061848397649	0.00694123696795297	0.00547992392206814	5	6.44444444444444	6.44444444444444	musculo_sarcomero	Musculo/sarcomero	6.44	6.94e-03
ORA	P_BD_vs_P_OD	up	MF	GO:0008307	MF: structural constituent of muscle	structural constituent of muscle	0.000746298205690059	0.00746298205690059	0.00589182793965836	5	5.58518518518518	5.58518518518518	musculo_sarcomero	Musculo/sarcomero	5.59	7.46e-03
